# PICTURE-C PROPER Optical Prescription,,,,,,,,,,,,,,,,,,,,
# Consistant with Zemax model: picture_c_afocal_linear_v003,,,,,,,,,,,,,,,,,,,,
######################################################,,,,,,,,,,,,,,,,,,,,
# Element Types,,,,,,,,,,,,,,,,,,,,
# mirror = reflection + surface + power if FL > 0 ,,,,,,,,,,,,,,,,,,,,
# lens = transmission + surface + power if FL > 0,,,,,,,,,,,,,,,,,,,,
# dichroic = dichroic,,,,,,,,,,,,,,,,,,,,
# polarizer = polarizer,,,,,,,,,,,,,,,,,,,,
# iwc = reflection + surface + IWC routine,,,,,,,,,,,,,,,,,,,,
# lowfs = lowfs,,,,,,,,,,,,,,,,,,,,
# dm = reflection + surface + DM routine,,,,,,,,,,,,,,,,,,,,
# vvc = vvc routine,,,,,,,,,,,,,,,,,,,,
# lyot = lyot stop,,,,,,,,,,,,,,,,,,,,
# sci = science camera,,,,,,,,,,,,,,,,,,,,
# distance = free space propagation distance,,,,,,,,,,,,,,,,,,,LOWFS: bit 2,LOWFS: bit 2
# beam = defines the input beam radius,,,,,,,,,,,,,,,,,,,,
######################################################,,,,,,,PTV [nm],RMS [nm],,,Cutoff [c/a],PTV,RMS,,,Cutoff [c/a],,,SCI:bit 1,SCI:bit 1
Name,Type,Focal Length [in],Distance [in],Radius [in],Angle [deg],Beamwalk [in/as],Surf. Min ,Surf. PSD A,Surf. PSD B,Surf. PSD C,Surf. PSD D,Ref. Min,Ref. PSD A,Ref. PSD B,Ref. PSD C,Ref. PSD D,Coating,Material,Reflect Code,Transmit Code
M1,mirror,60,64.3223,12,0,0,60,8,10,4,32,0.07,0.01,10,4,32,AlSiO,none,3,0
M2,mirror,4.3223,4.633671,1,0,3.12E-004,30,5.5,10,4,32,0.025,0.005,10,4,32,AgSiO,none,3,0
IWC,iwc,0,7,0.885,0,0,30,5.5,10,4,32,0.025,0.005,10,4,32,AgSiO,none,3,0
FM1,mirror,0,75,1,0,0,30,5.5,10,4,32,0.025,0.005,10,4,32,AgSiO,none,3,0
FM2,mirror,0,26,1,0,0,30,5.5,10,4,32,0.025,0.005,10,4,32,AgSiO,none,3,0
OAP1,mirror,10.5,10.5,1,0,0,30,5.5,10,4,32,0.025,0.005,10,4,32,AgSiO,none,3,0
Field ,mirror,-0.9,7.33,1,0,0,30,5.5,10,4,32,0.025,0.005,10,4,32,AgSiO,none,3,0
OAP2,mirror,7.32585,9,1,0,0,30,5.5,10,4,32,0.025,0.005,10,4,32,AgSiO,none,3,0
Dichroic,dichroic,0,10.495482,1,0,0,30,5.5,10,4,32,0.025,0.005,10,4,32,Dichroic,FS,1,2
DM,dm,0,28,0.623,0,0,30,5.5,10,4,32,0.025,0.005,10,4,32,AuSiO,none,1,0
OAP3,mirror,20,20,1,0,0,30,5.5,10,4,32,0.025,0.005,10,4,32,AgSiO,none,1,0
VVC,vvc,0,10,0.5,0,0,0,0,0,0,0,0,0,0,0,0,none,none,0,1
OAP4,mirror,10,8,1,0,0,30,5.5,10,4,32,0.025,0.005,10,4,32,AgSiO,none,1,0
Lyot Stop,lyot,0,4,0.26575,0,0,0,0,0,0,0,0,0,0,0,0,none,none,0,1
SCI Lens 1,lens,4.31912,4,1,0,0,30,5.5,10,4,32,0.025,0.005,10,4,32,none,FS,0,1
SCI Lens 2,lens,4.31912,4,1,0,0,30,5.5,10,4,32,0.025,0.005,10,4,32,none,FS,0,1
SCI Camera,sci,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,none,0,0
